language,gtrans,opensub
afrikaans,af,afr
albanian,sq,alb
amharic,am,amh
arabic,ar,ara
armenian,hy,arm
azerbaijani,az,aze
basque,eu,baq
belarusian,be,bel
bengali,bn,ben
bosnian,bs,bos
bulgarian,bg,bul
catalan,ca,cat
chinese (simplified),zh-cn,chi
chinese (traditional),zh-tw,zht
croatian,hr,hrv
czech,cs,cze
danish,da,dan
dutch,nl,dut
english,en,eng
esperanto,eo,epo
estonian,et,est
finnish,fi,fin
french,fr,fre
gaelic,gd,gla
galician,gl,glg
georgian,ka,geo
german,de,ger
greek,el,ell
hebrew,iw,heb
hebrew,he,heb
hindi,hi,hin
hungarian,hu,hun
icelandic,is,ice
igbo,ig,ibo
indonesian,id,ind
irish,ga,gle
italian,it,ita
japanese,ja,jpn
kannada,kn,kan
kazakh,kk,kaz
khmer,km,khm
korean,ko,kor
kurdish,ku,kur
latvian,lv,lav
lithuanian,lt,lit
luxembourgish,lb,ltz
macedonian,mk,mac
malay,ms,may
malayalam,ml,mal
marathi,mr,mar
mongolian,mn,mon
nepali,ne,nep
norwegian,no,nor
odia,or,ori
pashto,ps,pus
persian,fa,per
polish,pl,pol
portuguese,pt,por
romanian,ro,rum
russian,ru,rus
serbian,sr,scc
sindhi,sd,snd
slovak,sk,slo
slovenian,sl,slv
somali,so,som
spanish,es,spa
swahili,sw,swa
swedish,sv,swe
tamil,ta,tam
telugu,te,tel
thai,th,tha
turkish,tr,tur
ukrainian,uk,ukr
urdu,ur,urd
uzbek,uz,uzb
vietnamese,vi,vie
welsh,cy,wel
